Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CLOSING_PRICE,LOG_DIFF_CH_CLOSING_PRICE
657,3MINDIA,EQ,N,24538.95,24001.25,24350.05,24218.35,24275.0,24341.75,1147,27851574.9,31000.0,18024.25,767,INE470A01017,2021-09-09,24282.11,-0.0050823727967479,-0.005082372796747947
602,3MINDIA,EQ,N,25362.95,24134.05,24218.35,25150.9,25245.0,24218.35,18216,447549002.8,31000.0,18024.25,3619,INE470A01017,2021-09-13,24569.01,0.0377830709055455,0.03778307090554556
603,3MINDIA,EQ,N,26000.0,25260.0,25260.0,25705.25,25700.0,25150.9,5960,153396110.15,31000.0,18024.25,3052,INE470A01017,2021-09-14,25737.6,0.0218015700007256,0.02180157000072569
604,3MINDIA,EQ,N,25999.9,25259.5,25999.9,25337.85,25320.0,25705.25,2531,64411524.15,31000.0,18024.25,1785,INE470A01017,2021-09-15,25449.04,-0.0143959259942398,-0.014395925994239889
605,3MINDIA,EQ,N,25487.0,25100.0,25438.0,25156.85,25112.0,25337.85,19396,488860184.45,31000.0,18024.25,1105,INE470A01017,2021-09-16,25204.18,-0.007169099934142,-0.007169099934142054
606,3MINDIA,EQ,N,25399.8,24702.05,25300.0,25235.9,25258.0,25156.85,4038,100957319.7,31000.0,18024.25,2229,INE470A01017,2021-09-17,25001.81,0.0031373586415064,0.003137358641506438
607,3MINDIA,EQ,N,25347.0,24567.05,25347.0,25128.0,25100.0,25235.9,3534,88663538.9,31000.0,18024.25,1930,INE470A01017,2021-09-20,25088.72,-0.0042848216712449,-0.004284821671244998
608,3MINDIA,EQ,N,25300.0,24870.0,25088.7,25088.35,24985.95,25128.0,9008,226620885.25,31000.0,18024.25,1626,INE470A01017,2021-09-21,25157.74,-0.0015791672728049,-0.0015791672728049377
609,3MINDIA,EQ,N,25319.5,24651.25,25250.0,24724.35,24737.85,25088.35,7146,177482154.75,31000.0,18024.25,3658,INE470A01017,2021-09-22,24836.57,-0.0146150069813231,-0.01461500698132312
610,3MINDIA,EQ,N,25570.0,24701.25,24836.6,25019.9,25000.0,24724.35,7564,190347041.15,31000.0,18024.25,4998,INE470A01017,2021-09-23,25164.87,0.011882920246002,0.011882920246002016
611,3MINDIA,EQ,N,25500.0,24703.0,25500.0,24801.15,24987.0,25019.9,2174,54237181.15,31000.0,18024.25,1616,INE470A01017,2021-09-24,24948.11,-0.0087814851646417,-0.008781485164641722
612,3MINDIA,EQ,N,25349.0,24810.95,25100.0,25131.7,24942.3,24801.15,2910,73358785.55,31000.0,18100.0,1462,INE470A01017,2021-09-27,25209.2,0.0132399744330928,0.013239974433092883
613,3MINDIA,EQ,N,25270.0,24571.0,25190.0,24747.6,24742.0,25131.7,1346,33412256.25,31000.0,18100.0,1019,INE470A01017,2021-09-28,24823.37,-0.0154014828808062,-0.015401482880806228
614,3MINDIA,EQ,N,24795.35,24500.0,24750.0,24685.65,24650.0,24747.6,1158,28511513.0,31000.0,18100.0,840,INE470A01017,2021-09-29,24621.34,-0.0025064114712805,-0.002506411471280501
615,3MINDIA,EQ,N,24980.05,24462.5,24720.0,24832.5,24626.65,24685.65,1845,45629558.45,31000.0,18100.0,1352,INE470A01017,2021-09-30,24731.47,0.0059311759627895,0.005931175962789581
616,3MINDIA,EQ,N,24900.0,24500.0,24800.0,24863.2,24896.4,24832.5,1336,33010938.25,31000.0,18100.0,932,INE470A01017,2021-10-01,24708.79,0.0012355195280608,0.001235519528060891
617,3MINDIA,EQ,N,25896.0,25001.0,25200.0,25435.9,25386.5,24863.2,14304,360278704.55,31000.0,18230.9,2438,INE470A01017,2021-10-04,25187.27,0.0227727633262375,0.022772763326237566
618,3MINDIA,EQ,N,25769.25,25195.2,25435.9,25254.55,25245.2,25435.9,22642,575191108.8,31000.0,18230.9,1140,INE470A01017,2021-10-05,25403.72,-0.0071552244542143,-0.007155224454214348
619,3MINDIA,EQ,N,25995.0,24915.05,25499.9,25289.55,24954.55,25254.55,13066,330384620.2,31000.0,18230.9,2973,INE470A01017,2021-10-06,25285.83,0.0013849294218015,0.0013849294218015729
620,3MINDIA,EQ,N,25700.0,24850.15,25016.15,25231.65,25530.0,25289.55,3342,83885347.65,31000.0,18230.9,2125,INE470A01017,2021-10-07,25100.34,-0.0022921080793558,-0.00229210807935587
621,3MINDIA,EQ,N,25900.0,24949.95,25252.0,25653.8,25381.0,25231.65,8108,206620441.8,31000.0,18230.9,4937,INE470A01017,2021-10-08,25483.53,0.0165925499421693,0.0165925499421693
622,3MINDIA,EQ,N,25862.0,25350.0,25670.0,25720.0,25750.0,25653.8,3685,94444395.45,31000.0,18350.0,2489,INE470A01017,2021-10-11,25629.42,0.0025771905773446,0.0025771905773446235
623,3MINDIA,EQ,N,26000.0,25501.2,25868.0,25929.5,25801.0,25720.0,31047,796792093.35,31000.0,18350.0,2255,INE470A01017,2021-10-12,25664.06,0.0081124173110929,0.008112417311092912
624,3MINDIA,EQ,N,26390.0,25661.2,25929.5,26158.95,26199.95,25929.5,7367,191953740.25,31000.0,18350.0,4474,INE470A01017,2021-10-13,26055.89,0.0088100714882735,0.008810071488273508
625,3MINDIA,EQ,N,26500.0,25795.0,26362.0,26013.1,26060.0,26158.95,5776,150402047.7,31000.0,18350.0,3389,INE470A01017,2021-10-14,26039.14,-0.0055911308813101,-0.005591130881310136
626,3MINDIA,EQ,N,26415.0,25825.0,26282.0,26355.9,26250.0,26013.1,3397,88622337.3,31000.0,18350.0,2398,INE470A01017,2021-10-18,26088.41,0.0130919015544428,0.013091901554442842
627,3MINDIA,EQ,N,26500.0,25790.0,26450.0,25981.2,25790.0,26355.9,6478,168337005.15,31000.0,18350.0,3746,INE470A01017,2021-10-19,25985.95,-0.0143189592897172,-0.01431895928971727
628,3MINDIA,EQ,N,26549.75,25283.7,25720.0,26016.7,26000.0,25981.2,6201,160671649.0,31000.0,18350.0,3927,INE470A01017,2021-10-20,25910.6,0.0013654399702911,0.001365439970291149
629,3MINDIA,EQ,N,26199.95,25590.25,26199.95,25740.0,25700.0,26016.7,3193,82249661.55,31000.0,18350.0,2278,INE470A01017,2021-10-21,25759.37,-0.0106924373545105,-0.010692437354510531
630,3MINDIA,EQ,N,26299.7,25401.2,25650.0,26187.95,26195.0,25740.0,4172,107949504.35,31000.0,18350.0,3155,INE470A01017,2021-10-22,25874.76,0.0172531791376204,0.017253179137620478
576,3MINDIA,EQ,N,26299.0,25290.0,26017.0,26146.9,26001.2,26187.95,3346,86266018.75,31000.0,18350.0,2445,INE470A01017,2021-10-25,25781.83,-0.0015687446670256,-0.0015687446670256122
577,3MINDIA,EQ,N,26350.0,25801.2,25875.0,26146.75,25928.5,26146.9,2876,74834344.35,31000.0,18350.0,1752,INE470A01017,2021-10-26,26020.29,-5.736834204128627e-06,-5.736834204128627e-06
578,3MINDIA,EQ,N,26195.0,25825.15,25994.95,25962.75,25843.1,26146.75,1494,38747580.7,31000.0,18350.0,1056,INE470A01017,2021-10-27,25935.46,-0.007062081375512,-0.007062081375512008
579,3MINDIA,EQ,N,26088.0,25454.65,26088.0,25907.45,25957.0,25962.75,2006,51712913.3,31000.0,18350.0,1138,INE470A01017,2021-10-28,25779.12,-0.0021322462975525,-0.002132246297552598
580,3MINDIA,EQ,N,25930.0,25290.0,25910.0,25400.7,25300.0,25907.45,1879,47924226.0,31000.0,18350.0,1283,INE470A01017,2021-10-29,25505.18,-0.0197538394314413,-0.019753839431441378
581,3MINDIA,EQ,N,25700.0,25000.0,25522.0,25560.5,25502.0,25400.7,3109,78928384.35,31000.0,18400.0,1227,INE470A01017,2021-11-01,25387.06,0.0062714584334759,0.006271458433475985
582,3MINDIA,EQ,N,26500.0,25355.0,25355.0,26355.15,26500.0,25560.5,4476,116877965.85,31000.0,18400.0,2466,INE470A01017,2021-11-02,26112.15,0.0306155106772685,0.03061551067726853
583,3MINDIA,EQ,N,26999.0,26350.0,26455.15,26758.15,26350.0,26355.15,3890,103673573.8,31000.0,18400.0,2167,INE470A01017,2021-11-03,26651.3,0.0151753980252404,0.015175398025240483
584,3MINDIA,EQ,N,26861.0,26551.9,26605.0,26669.0,26737.0,26758.15,583,15576083.9,31000.0,18400.0,377,INE470A01017,2021-11-04,26717.13,-0.0033372576579804,-0.0033372576579804303
585,3MINDIA,EQ,N,27800.0,26700.0,26700.0,27396.65,27386.5,26669.0,7004,192070191.5,31000.0,18777.0,3445,INE470A01017,2021-11-08,27422.93,0.0269189009677308,0.026918900967730863
586,3MINDIA,EQ,N,27662.0,27172.2,27500.0,27218.0,27200.0,27396.65,6114,168111477.15,31000.0,18777.0,1150,INE470A01017,2021-11-09,27496.15,-0.0065422240074752,-0.0065422240074752835
587,3MINDIA,EQ,N,27230.05,26850.0,27025.0,26876.4,26850.0,27218.0,1133,30587733.9,31000.0,18777.0,779,INE470A01017,2021-11-10,26997.12,-0.012629941023837,-0.012629941023837077
588,3MINDIA,EQ,N,27484.9,26564.2,26705.0,26992.25,26990.0,26876.4,2431,65656843.4,31000.0,18777.0,1689,INE470A01017,2021-11-11,27008.16,0.0043012096499897,0.004301209649989701
589,3MINDIA,EQ,N,27300.0,26400.0,27300.0,26715.8,26764.0,26992.25,4272,114020398.5,31000.0,18777.0,1912,INE470A01017,2021-11-12,26690.17,-0.0102946370795304,-0.010294637079530489
590,3MINDIA,EQ,N,26782.9,25885.0,26700.0,26077.75,25960.0,26715.8,2884,75363840.5,31000.0,18777.0,1878,INE470A01017,2021-11-15,26131.71,-0.0241726903541596,-0.024172690354159698
591,3MINDIA,EQ,N,26228.5,25733.65,26080.0,25856.0,25740.0,26077.75,2059,53536645.35,31000.0,18777.0,1530,INE470A01017,2021-11-16,26001.28,-0.0085397779919027,-0.008539777991902753
592,3MINDIA,EQ,N,25961.0,25315.05,25856.0,25457.0,25488.0,25856.0,3703,94857534.2,31000.0,18777.0,1020,INE470A01017,2021-11-17,25616.4,-0.0155519280453138,-0.015551928045313801
593,3MINDIA,EQ,N,25587.65,24872.15,25458.0,25194.15,25219.85,25457.0,1859,46769953.05,31000.0,18777.0,1197,INE470A01017,2021-11-18,25158.66,-0.0103789295824601,-0.010378929582460117
594,3MINDIA,EQ,N,25600.0,25001.0,25200.0,25250.9,25210.0,25194.15,2224,56239372.95,31000.0,18777.0,1664,INE470A01017,2021-11-22,25287.49,0.0022499739395982,0.0022499739395982488
595,3MINDIA,EQ,N,25674.2,25117.05,25250.0,25540.85,25580.0,25250.9,1643,41757846.8,31000.0,18777.0,1243,INE470A01017,2021-11-23,25415.61,0.0114173325277224,0.011417332527722479
596,3MINDIA,EQ,N,25999.9,25327.05,25730.85,25885.0,25700.0,25540.85,1834,47272641.45,31000.0,18777.0,1348,INE470A01017,2021-11-24,25775.7,0.0133845191756325,0.013384519175632548
597,3MINDIA,EQ,N,25916.8,25570.0,25885.0,25831.65,25887.0,25885.0,621,15977492.95,31000.0,18777.0,429,INE470A01017,2021-11-25,25728.65,-0.0020631660760841,-0.002063166076084144
598,3MINDIA,EQ,N,25899.85,25054.0,25899.0,25185.0,25099.95,25831.65,1359,34464217.6,31000.0,18777.0,908,INE470A01017,2021-11-26,25359.98,-0.025351905080166,-0.02535190508016605
599,3MINDIA,EQ,N,25200.0,23947.85,25200.0,24900.25,24919.0,25185.0,2639,65353343.9,31000.0,18777.0,1442,INE470A01017,2021-11-29,24764.43,-0.0113707356167118,-0.011370735616711869
600,3MINDIA,EQ,N,25245.0,24600.1,25245.0,25034.4,25082.5,24900.25,2581,64373879.2,31000.0,18777.0,1613,INE470A01017,2021-11-30,24941.45,0.0053730354668317,0.005373035466831766
601,3MINDIA,EQ,N,25300.0,24542.3,25300.0,24745.3,24625.0,25034.4,5676,141898373.6,31000.0,18777.0,812,INE470A01017,2021-12-01,24999.71,-0.0116153070560294,-0.011615307056029422
547,3MINDIA,EQ,N,25134.6,24600.0,24912.7,24985.55,25009.65,24745.3,2116,52710032.75,31000.0,18777.0,1305,INE470A01017,2021-12-02,24910.22,0.0096620857701008,0.009662085770100859
548,3MINDIA,EQ,N,25989.9,24957.15,25000.15,25809.9,25901.0,24985.55,2372,60367895.4,31000.0,18777.0,1581,INE470A01017,2021-12-03,25450.21,0.0324604814939508,0.032460481493950866
549,3MINDIA,EQ,N,26399.0,24900.0,25809.9,26080.1,25700.0,25809.9,3203,83226099.0,31000.0,18777.0,2211,INE470A01017,2021-12-06,25983.8,0.0104144321511725,0.010414432151172548
550,3MINDIA,EQ,N,26351.0,26100.0,26100.0,26204.25,26135.0,26080.1,2204,57798823.7,31000.0,18777.0,1333,INE470A01017,2021-12-07,26224.51,0.004749039945354,0.004749039945354028
551,3MINDIA,EQ,N,26599.4,25510.05,26225.0,25778.35,25600.0,26204.25,3129,81707404.7,31000.0,18777.0,2122,INE470A01017,2021-12-08,26112.94,-0.0163866189927084,-0.016386618992708435
552,3MINDIA,EQ,N,25999.9,25200.1,25778.55,25323.35,25215.05,25778.35,1528,39073912.05,31000.0,18777.0,823,INE470A01017,2021-12-09,25571.93,-0.0178080973582357,-0.01780809735823574
553,3MINDIA,EQ,N,25588.0,25200.0,25400.0,25257.65,25300.0,25323.35,626,15871470.25,31000.0,18777.0,447,INE470A01017,2021-12-10,25353.79,-0.0025978148691727,-0.0025978148691727654
554,3MINDIA,EQ,N,25485.0,24950.4,25485.0,25104.05,25098.0,25257.65,1182,29851519.25,31000.0,18777.0,849,INE470A01017,2021-12-13,25255.09,-0.0060998924290043,-0.006099892429004328
